"id","repository_name","home_page","oai_pmh"
2763,Open Library Archives of Kagawa University,http://shark.lib.kagawa-u.ac.jp/kuir/,
2764,Repositório Institucional da Universidade Federal do Rio Grande do Norte,http://repositorio.ufrn.br:8080/jspui/,http://repositorio.ufrn.br:8080/oai/request
2765,Carroll Collected,http://collected.jcu.edu,http://collected.jcu.edu/do/oai
2766,The Cupola: Scholarship at Gettysburg College | Gettysburg College Research,http://cupola.gettysburg.edu/,http://cupola.gettysburg.edu/do/oai/
2767,St Mary's University Open Research Archive,http://research.smuc.ac.uk,http://research.smuc.ac.uk/cgi/oai2
2768,Repositorio de Objetos de Docencia e Investigación de la Universidad de Cádiz,http://rodin.uca.es:8081/xmlui/,http://rodin.uca.es:8081/oai/request
2769,Fukushima University Repository (福島大学学術機関リポジトリ),http://ir.lib.fukushima-u.ac.jp/dspace/index.jsp,http://ir.lib.fukushima-u.ac.jp/dspace-oai/request
2770,DSpace at Bangor University,http://repository.bangor.ac.uk/,http://repository.bangor.ac.uk/oai/request
2771,EIAH Digital Repository,http://eiah.org/fa/repository,
2772,Sophia University Repository for Academic Resources,http://repository.cc.sophia.ac.jp/dspace/,
2773,UCrea,http://repositorio.unican.es/xmlui,http://repositorio.unican.es/oai/request
2774,CaltechCONF,http://caltechconf.library.caltech.edu/,http://caltechconf.library.caltech.edu/cgi/oai2
2775,Biblioteca Virtual del Centro de Documentación,http://cdam.minam.gob.pe:8080/cendoam/,
2776,Repositorio Institucional UCES,http://dspace.uces.edu.ar:8180/dspace/,
2777,University of Arizona Campus Repository,http://arizona.openrepository.com/arizona/,
2778,Knowledge Repository Open Network,http://dspaces.uok.edu.in:8080/jspui/,
2779,Scientific Open-access Literature Archive and Repository,http://eprints.bice.rm.cnr.it/,http://eprints.bice.rm.cnr.it/cgi/oai2
2780,KeiO Academic Resource Archive,http://koara.lib.keio.ac.jp/xoonips/,http://koara.lib.keio.ac.jp/xoonips/modules/xoonips/oai.php
2781,OPUS-Datenbank - Universität Augsburg,http://opus.bibliothek.uni-augsburg.de/opus4/home,http://opus.bibliothek.uni-augsburg.de//oai/oai2.php
2782,UCrea: Repositorio abierto de la Universidad de Cantabria,http://repositorio.unican.es/xmlui,http://repositorio.unican.es/oai
2783,Institutional Repository at TNPU: Institutional Repository of Ternopil National Pedagogical University V.Hnatiuk,http://dspace.tnpu.edu.ua/,http://dspace.tnpu.edu.ua/oai
2784,Electronic archive of Department of Physics and Mathematics of Ternopil V. Hnatyuk National Pedagogical University,http://elar.fizmat.tnpu.edu.ua/,http://elar.fizmat.tnpu.edu.ua/oai/request
2785,Institutional Repository at TNPU: Institutional Repository of Ternopil National Pedagogical University V.Hnatiuk,http://dspace.tnpu.edu.ua/,http://dspace.tnpu.edu.ua/oai/request
2786,Kagoshima Academic Repository Network (鹿児島県学術共同リポジトリ),https://karn.repo.nii.ac.jp/,http://karn.repo.nii.ac.jp/oai
2787,KCE Repository,http://kce.docressources.info/opac/index.php?search_type_asked=extended_search&amp;onglet_persopac=5&amp;limitsearch=1,http://kce.docressources.info/ws/PMBWs_2
2788,Virtual Library on Capacity Development,http://elibrary.acbfpact.org/,
2789,IUB Library Digital Repository,http://dir.iub.edu.bd:8081/,
